Question,Option A,Option B,Option C,Option D,Option E,Answer
If you salivate at the sight of McDonald’s “Golden Arches” you are evidencing,an unconditioned response,a reflex action,a conditioned response,learned helplessness,shaping,Not Provided
Seligman’s learned helplessness experiment showed that the dogs who were initially shocked while in harnesses,showed an improvement in behavior when the situation was changed,learned to tell the difference between situations where their behavior made a difference and situations when it didn’t,came to associate the presence of the harness with the pain of the shocks,generalized passive behavior to subsequent situations,made every attempt to avoid being shocked again,Not Provided
If a previously extinguished response reappears the phenomenon is referred to as,secondary learning,extinction,an unconditioned response,the Premack Principle,spontaneous recovery,Not Provided
In Watson’s experiment with Albert the uncondi-tioned response was,fear of the rat,a loud noise,a white rat,fear of the loud noise,a bell,Not Provided
Operant conditioning requires,reinforcing the desired behavior,pairing a conditioned and an unconditioned stimulus,pairing a conditioned stimulus and a condi-tioned response,punishing a trial-and-error behavior,positive reinforcement,Not Provided
Often at the beginning of the school year a teacher has to punish a child in the class for breaking a classroom rule. Usually from that one experience the other children in the class learn what is acceptable and what is not. This situation MOST CLEARLY represents an example of,pseudoconditioning,insight learning,observational learning,operant behavior modification,classical conditioning,Not Provided
Which of the following has been shown to lower drop-out rates effectively?,Head Start,Small class size,Positive school climate,Family support,All of the above,Not Provided
What is a dyad in learning?,A tool,A scaffolding technique,A pair,A reflex,A thought,Not Provided
Dennis is about to begin junior high school and the changes in social environment that he will face include all of the following EXCEPT,a new school,a less bureaucratic type of school,several teachers instead of one,heavy academic demands,increased gender role confusion,Not Provided
According to Erik Erikson adolescents are primarily dealing with concerns related to,generativity vs. self-absorption,autonomy vs. shame and doubt,trust vs. mistrust,intimacy vs. isolation,identity vs. confusion,Not Provided
When does autism usually become evident?,At birth,By 2 months of age,Between 12 and 16 months,Between 18 and 30 months,At 36 months of age,Not Provided
Johnny always refers to himself as “you.” This,could represent an unusual speech pattern called pronoun reversal,is not uncommon in childhood and should be ignored,is typical when language is first acquired,is a common feature in childhood schizo-phrenia,is a charming idiosyncrasy,Not Provided
Conduct disorder,typically does not emerge until adolescence,is more common in girls than in boys,shows a good deal of stability across time,is not related to family or marital conflict,cannot be treated,Not Provided
The most common cause of severe intellectual and emotional impairment in older individuals is,poor attention,Alzheimer’s disease,loss of memory,senescence,cancer,Not Provided
People with bulimia,are often normal weight,use extreme dieting,are more often male than female,are more commonly black adolescents,can be noticed easily by a skeletal appearance,Not Provided
